Date;Price;Open;High;Low;Change (%)
10/12/2014;347.9;352.2;354.1;345.1;-1.21
11/12/2014;347.7;347.9;367.1;337.8;-0.07
12/12/2014;353.4;347.7;356.4;346.0;1.65
13/12/2014;348.2;353.4;353.1;343.8;-1.46
14/12/2014;349.4;348.2;351.6;344.6;0.32
15/12/2014;345.4;349.4;351.2;343.6;-1.14
16/12/2014;330.2;345.4;346.5;328.9;-4.39
17/12/2014;320.0;330.2;335.7;314.3;-3.09
18/12/2014;310.3;320.0;325.6;303.4;-3.02
19/12/2014;317.8;310.3;320.2;306.4;2.40
20/12/2014;330.4;317.8;332.6;316.0;3.96
21/12/2014;322.6;330.4;332.0;320.1;-2.34
22/12/2014;330.8;322.6;335.3;319.9;2.54
23/12/2014;335.3;330.8;339.3;328.0;1.33
24/12/2014;322.4;335.3;336.3;320.6;-3.83
25/12/2014;319.0;322.4;323.4;316.3;-1.06
26/12/2014;330.0;319.0;332.9;316.4;3.45
27/12/2014;315.3;330.0;330.7;312.0;-4.44
28/12/2014;316.5;315.3;322.8;310.5;0.38
29/12/2014;314.1;316.5;321.6;308.3;-0.76
30/12/2014;311.3;314.1;316.2;309.3;-0.91
31/12/2014;318.2;311.3;319.1;308.9;2.24
01/01/2015;314.9;318.2;321.4;313.5;-1.05
02/01/2015;315.2;314.9;316.4;313.1;0.10
03/01/2015;287.1;315.2;315.8;284.9;-8.91
04/01/2015;264.7;287.1;289.9;255.9;-7.80
05/01/2015;274.8;264.7;278.3;262.9;3.82
06/01/2015;282.3;274.8;285.1;271.5;2.70
07/01/2015;291.3;282.3;296.1;280.7;3.21
08/01/2015;282.7;291.3;292.7;279.0;-2.97
09/01/2015;288.0;282.7;290.6;277.3;1.87
10/01/2015;273.4;288.0;289.3;272.0;-5.08
11/01/2015;264.8;273.4;278.0;263.8;-3.14
12/01/2015;269.3;264.8;273.1;263.3;1.72
13/01/2015;221.3;269.3;269.1;217.1;-17.84
14/01/2015;164.9;221.3;230.9;157.3;-25.47
15/01/2015;209.8;164.9;231.3;164.6;27.20
16/01/2015;206.9;209.8;222.6;198.7;-1.36
17/01/2015;199.6;206.9;212.6;191.7;-3.51
18/01/2015;210.6;199.6;220.7;192.5;5.49
19/01/2015;215.9;210.6;219.5;205.5;2.49
20/01/2015;210.6;215.9;216.6;203.4;-2.46
21/01/2015;228.2;210.6;229.3;207.1;8.37
22/01/2015;232.7;228.2;238.8;225.6;1.99
23/01/2015;232.2;232.7;237.0;224.8;-0.23
24/01/2015;248.2;232.2;248.9;229.6;6.89
25/01/2015;252.1;248.2;256.4;241.4;1.58
26/01/2015;269.2;252.1;310.9;251.5;6.78
27/01/2015;263.3;269.2;276.9;247.3;-2.20
28/01/2015;236.2;263.3;267.7;228.1;-10.29
29/01/2015;234.0;236.2;241.5;220.4;-0.92
30/01/2015;231.8;234.0;244.8;227.2;-0.92
31/01/2015;218.5;231.8;235.4;216.5;-5.75
01/02/2015;225.3;218.5;231.4;209.7;3.10
02/02/2015;238.9;225.3;242.5;220.5;6.02
03/02/2015;227.4;238.9;247.5;223.9;-4.79
04/02/2015;226.6;227.4;230.7;220.2;-0.36
05/02/2015;216.5;226.6;229.9;214.4;-4.44
06/02/2015;223.0;216.5;226.2;215.6;2.97
07/02/2015;227.7;223.0;231.0;222.4;2.12
08/02/2015;223.7;227.7;230.2;219.5;-1.76
09/02/2015;220.3;223.7;225.0;215.7;-1.49
10/02/2015;219.7;220.3;222.2;214.4;-0.30
11/02/2015;218.8;219.7;223.5;217.3;-0.38
12/02/2015;221.8;218.8;223.0;217.3;1.35
13/02/2015;236.2;221.8;241.6;220.6;6.48
14/02/2015;258.6;236.2;261.3;235.4;9.51
15/02/2015;233.3;258.6;264.6;226.6;-9.81
16/02/2015;235.8;233.3;240.0;228.0;1.10
17/02/2015;243.2;235.8;247.2;232.0;3.13
18/02/2015;235.2;243.2;245.5;231.7;-3.29
19/02/2015;241.9;235.2;244.1;234.9;2.86
20/02/2015;244.5;241.9;247.8;238.8;1.07
21/02/2015;244.4;244.5;247.3;242.6;-0.04
22/02/2015;235.7;244.4;246.5;232.7;-3.55
23/02/2015;238.8;235.7;240.1;231.3;1.31
24/02/2015;238.9;238.8;240.3;235.5;0.03
25/02/2015;237.3;238.9;239.6;234.6;-0.65
26/02/2015;236.5;237.3;238.2;233.5;-0.34
27/02/2015;253.5;236.5;258.7;235.7;7.16
28/02/2015;254.1;253.5;255.4;248.7;0.23
01/03/2015;257.9;254.1;260.6;244.8;1.53
02/03/2015;273.8;257.9;274.8;256.1;6.13
03/03/2015;280.6;273.8;287.1;266.1;2.52
04/03/2015;271.9;280.6;284.5;265.9;-3.11
05/03/2015;275.2;271.9;280.8;262.8;1.22
06/03/2015;272.6;275.2;278.0;269.0;-0.97
07/03/2015;274.9;272.6;278.3;269.4;0.86
08/03/2015;274.5;274.9;278.8;271.3;-0.15
09/03/2015;290.0;274.5;293.3;273.8;5.66
10/03/2015;291.4;290.0;301.0;288.1;0.47
11/03/2015;295.6;291.4;297.7;288.9;1.45
12/03/2015;293.9;295.6;297.0;290.8;-0.59
